CLASS,geometry
ASS,POINT (26.345451332616683 64.7183800024948)
ASS,POINT (26.33226933420437 64.72510132876285)
ASS,POINT (26.3117481669336 64.7283385036673)
ASS,POINT (26.220425832377 64.74424366441319)
ASS,POINT (26.222122999954117 64.73520766370649)
ASS,POINT (26.202490421629605 64.73308223033114)
ASS,POINT (26.227054332568642 64.7229933373226)
ASS,POINT (25.61308075682808 64.6667776395735)
ASS,POINT (25.58422288804111 64.70311874253628)
ASS,POINT (25.602860746511123 64.71190701789189)
ASS,POINT (25.5803013037392 64.71362797905643)
ASS,POINT (25.65224278130449 64.6559027888608)
ASS,POINT (26.017102440388513 64.49462801220871)
ASS,POINT (25.69964775993683 64.69002634073193)
ASS,POINT (25.674964608511274 64.69051521048081)
ASS,POINT (25.676516307485308 64.69882475873922)
ASS,POINT (25.64178318478218 64.63375564955926)
ASS,POINT (25.61499536431317 64.62924768450084)
ASS,POINT (26.392240793813972 64.76186937876574)
ASS,POINT (26.12070316592468 64.64508549958944)
ASS,POINT (26.1612469066108 64.66096517546575)
ASS,POINT (26.10084050003432 64.65062154179527)
ASS,POINT (26.121134832502683 64.66100350102468)
ASS,POINT (26.121298904140584 64.6610091331121)
ASS,POINT (26.462531499111 64.7012158287152)
ASS,POINT (26.274370999955327 64.56555316270783)
ASS,POINT (26.20665566665111 64.59115066442492)
ASS,POINT (25.638228301368205 64.64465723495375)
ASS,POINT (25.654596120337875 64.6470500204732)
ASS,POINT (25.654707653584907 64.64711197411698)
ASS,POINT (25.64887760490116 64.67534133835615)
ASS,POINT (25.71867467489241 64.62416037070165)
ASS,POINT (25.7004794977576 64.62096483338208)
ASS,POINT (25.68435583318389 64.62623133717801)
ASS,POINT (25.740839999437824 64.6505974976317)
ASS,POINT (25.694676168643163 64.63782513355136)
ASS,POINT (26.03591499999698 64.58892316619922)
ASS,POINT (26.01712716649674 64.60301533121213)
ASS,POINT (25.587103939873618 64.614999720145)
ASS,POINT (25.57648725634062 64.63588426494994)
ASS,POINT (25.760390444281636 64.66397964208123)
ASS,POINT (25.740179603537033 64.67303513347461)
ASS,POINT (25.724110229569778 64.68510127251942)
ASS,POINT (26.18582299921051 64.70904950422307)
ASS,POINT (26.362028499986295 64.62030616920711)
ASS,POINT (26.36336333373141 64.61213016449513)
ASS,POINT (26.074383206778805 64.68874361034236)
ASS,POINT (26.08398083412506 64.66943116959635)
ASS,POINT (25.99063499976513 64.66653999669218)
ASS,POINT (26.028429500506753 64.66291883411907)
ASS,POINT (26.160917000506124 64.64391799793736)
ASS,POINT (26.292909333288893 64.75004233719523)
ASS,POINT (26.267375500285898 64.74447616449824)
ASS,POINT (26.20911499916079 64.71877266362378)
ASS,POINT (26.1843123643283 64.76428661319152)
ASS,POINT (26.30512116569201 64.73595866560242)
ASS,POINT (26.288064166849235 64.73689966489079)
ASS,POINT (25.810613834567764 64.6597341623158)
ASS,POINT (25.784274000349836 64.65795483590905)
ASS,POINT (25.72683750083855 64.675638167715)
ASS,POINT (25.728988757612303 64.58255378540673)
ASS,POINT (25.691003563347053 64.58758841298169)
ASS,POINT (26.133067746663023 64.58355015826297)
ASS,POINT (26.122223500736432 64.59786866607946)
ASS,POINT (25.609510667920095 64.65466902679474)
ASS,POINT (25.62112480610727 64.65108004503564)
ASS,POINT (25.6167978927424 64.64129563458671)
ASS,POINT (25.621050628160788 64.61753504388732)
ASS,POINT (25.587117957352568 64.61498868933157)
ASS,POINT (25.99549749979302 64.59221200140493)
ASS,POINT (25.79323183264955 64.61631733279881)
ASS,POINT (25.844457499118406 64.6118324962891)
ASS,POINT (26.30845216595395 64.64413733220536)
ASS,POINT (25.752624516518758 64.57470183852509)
ASS,POINT (25.88335229198415 64.62434957302226)
ASS,POINT (26.09115983434535 64.65950049830263)
ASS,POINT (26.09368299890037 64.5746470024347)
ASS,POINT (26.059214999143336 64.56674817060245)
ASS,POINT (25.492792787330174 64.64510871122869)
ASS,POINT (25.715853847576685 64.65775761536945)
ASS,POINT (25.652850877484155 64.61862312938062)
ASS,POINT (25.664232115402687 64.62562229940241)
ASS,POINT (26.320716833761107 64.65392182949866)
ASS,POINT (26.18578605279209 64.70907016506585)
ASS,POINT (26.16630333343529 64.72402533060955)
ASS,POINT (26.162663834132353 64.73068633153086)
ASS,POINT (26.1497835114147 64.65207069219923)
ASS,POINT (26.179394500071155 64.66050283495532)
ASS,POINT (26.352441166630882 64.59694916493258)
ASS,POINT (26.29694083301168 64.60589766311628)
ASS,POINT (26.443135165901804 64.75178200292217)
ASS,POINT (26.081894382011832 64.69956642302205)
ASS,POINT (26.08155560490446 64.69954356582554)
ASS,POINT (26.05432914812543 64.68167443566374)
ASS,POINT (26.15237166732953 64.62537766917491)
ASS,POINT (25.919799547124363 64.63151299882662)
ASS,POINT (25.96876481827869 64.60922890283982)
ASS,POINT (25.81933149939411 64.64230916878013)
ASS,POINT (25.936212000348558 64.6527868376443)
ASS,POINT (25.926160666516484 64.64442516887844)
ASS,POINT (26.271222201701782 64.77898544970346)
